NO_UF,Indice_infra,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,QT_MAT_BAS,QT_MAT_INF,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_FUND,QT_MAT_MED,QT_MAT_PROF,QT_MAT_INF_INT,QT_MAT_INF_CRE_INT,QT_MAT_INF_PRE_INT,QT_MAT_FUND_INT,QT_MAT_MED_INT,ano
['Piauí'],0.3663038878229249,['PI'],[22],['Passagem Franca do Piauí'],[2207751],1943.0,369.0,164.0,205.0,770.0,168.0,0.0,0.0,0.0,0.0,0.0,32.0,['2018']
['Sergipe'],0.6359090494079178,['SE'],[28],['Pedrinhas'],[2805109],2351.0,352.0,139.0,213.0,1300.0,391.0,0.0,0.0,0.0,0.0,513.0,0.0,['2018']
['Bahia'],0.23548326154863566,['BA'],[29],['Piraí do Norte'],[2924678],2179.0,308.0,74.0,234.0,1287.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,['2018']
['Sergipe'],0.6376005219594256,['SE'],[28],['Poço Verde'],[2805505],4943.0,667.0,244.0,423.0,3072.0,940.0,0.0,37.0,23.0,14.0,276.0,0.0,['2018']
['Piauí'],0.25398675917473407,['PI'],[22],['Riacho Frio'],[2208858],1569.0,228.0,60.0,168.0,952.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,['2018']
['Sergipe'],0.49904380411967375,['SE'],[28],['Riachão do Dantas'],[2805802],5147.0,726.0,230.0,496.0,3279.0,686.0,0.0,0.0,0.0,0.0,625.0,0.0,['2018']
['Sergipe'],0.696211093516901,['SE'],[28],['Rosário do Catete'],[2806107],2784.0,716.0,268.0,448.0,1420.0,274.0,0.0,0.0,0.0,0.0,303.0,112.0,['2018']
['Sergipe'],0.46148399912685417,['SE'],[28],['Salgado'],[2806206],4275.0,528.0,148.0,380.0,2657.0,651.0,0.0,109.0,109.0,0.0,679.0,0.0,['2018']
['Bahia'],0.352659148337634,['BA'],[29],['Santa Brígida'],[2927606],4009.0,636.0,89.0,547.0,2373.0,634.0,0.0,89.0,89.0,0.0,0.0,0.0,['2018']
['Sergipe'],0.5076624550827532,['SE'],[28],['Santa Luzia do Itanhy'],[2806305],4275.0,888.0,447.0,441.0,2544.0,334.0,0.0,130.0,130.0,0.0,913.0,0.0,['2018']
['Sergipe'],0.5136344303959777,['SE'],[28],['Santa Rosa de Lima'],[2806503],1202.0,249.0,124.0,125.0,678.0,183.0,0.0,37.0,37.0,0.0,0.0,52.0,['2018']
['Pernambuco' 'Bahia'],0.31585940436141813,['PE' 'BA'],[26 29],['Santa Terezinha'],[2612802 2928505],4837.0,762.0,247.0,515.0,2923.0,843.0,0.0,0.0,0.0,0.0,155.0,375.0,['2018']
['Rio Grande do Norte' 'Bahia'],0.345944575253949,['RN' 'BA'],[24 29],['Serrinha'],[2413508 2930501],19631.0,2850.0,1329.0,1521.0,9848.0,4424.0,1853.0,1223.0,1189.0,34.0,4583.0,473.0,['2018']
['Sergipe'],0.6138051532821789,['SE'],[28],['Simão Dias'],[2807105],9609.0,1399.0,599.0,800.0,5335.0,1463.0,0.0,623.0,499.0,124.0,754.0,226.0,['2018']
['Bahia'],0.3210137449073612,['BA'],[29],['São Felipe'],[2929107],5422.0,851.0,387.0,464.0,2454.0,842.0,0.0,703.0,347.0,356.0,715.0,0.0,['2018']
['Bahia'],0.4564733425866299,['BA'],[29],['São José da Vitória'],[2929354],1617.0,173.0,0.0,173.0,963.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,['2018']
['Pernambuco'],0.28562490943011326,['PE'],[26],['Terezinha'],[2615102],1824.0,309.0,100.0,209.0,1218.0,210.0,0.0,0.0,0.0,0.0,0.0,210.0,['2018']
['Sergipe'],0.5297316510017349,['SE'],[28],['Tobias Barreto'],[2807402],11251.0,1504.0,482.0,1022.0,6853.0,1845.0,182.0,114.0,114.0,0.0,690.0,0.0,['2018']
['Sergipe'],0.4045400365524539,['SE'],[28],['Tomar do Geru'],[2807501],2985.0,491.0,100.0,391.0,1935.0,423.0,0.0,129.0,100.0,29.0,1.0,0.0,['2018']
['Sergipe'],0.6065478233456666,['SE'],[28],['Umbaúba'],[2807600],5842.0,810.0,188.0,622.0,3603.0,1063.0,0.0,0.0,0.0,0.0,0.0,0.0,['2018']
['Bahia'],0.5524583311940214,['BA'],[29],['Andaraí'],[2901304],3508.0,497.0,151.0,346.0,2110.0,691.0,4.0,259.0,103.0,156.0,892.0,0.0,['2019']
['Ceará'],0.35951908273933103,['CE'],[23],['Antonina do Norte'],[2300804],1737.0,323.0,121.0,202.0,1076.0,300.0,38.0,0.0,0.0,0.0,649.0,0.0,['2019']
